s-1h4-1,King.,Globe_Shakespeare/1h4.xml,MALE
s-1h4-2,West.,Globe_Shakespeare/1h4.xml,
s-1h4-3,Fal.,Globe_Shakespeare/1h4.xml,
s-1h4-4,Prince.,Globe_Shakespeare/1h4.xml,MALE
s-1h4-6,Poins.,Globe_Shakespeare/1h4.xml,
s-1h4-10,Wor.,Globe_Shakespeare/1h4.xml,
s-1h4-8,North.,Globe_Shakespeare/1h4.xml,
s-1h4-9,Hot.,Globe_Shakespeare/1h4.xml,
s-1h4-7,Blunt.,Globe_Shakespeare/1h4.xml,
s-1h4-12,Car.,Globe_Shakespeare/1h4.xml,
s-1h4-15,Ost.,Globe_Shakespeare/1h4.xml,
s-1h4-14,Gads.,Globe_Shakespeare/1h4.xml,
s-1h4-13,Cham.,Globe_Shakespeare/1h4.xml,
s-1h4-16,Bard.,Globe_Shakespeare/1h4.xml,
s-1h4-17,Peto.,Globe_Shakespeare/1h4.xml,
s-1h4-18,Travellers.,Globe_Shakespeare/1h4.xml,
s-1h4-19,Thieves.,Globe_Shakespeare/1h4.xml,
s-1h4-20,Lady P.,Globe_Shakespeare/1h4.xml,FEMALE
s-1h4-21,Serv.,Globe_Shakespeare/1h4.xml,
s-1h4-22,Fran.,Globe_Shakespeare/1h4.xml,
s-1h4-26,Vint.,Globe_Shakespeare/1h4.xml,
s-1h4-23,Host.,Globe_Shakespeare/1h4.xml,
s-1h4-24,Sher.,Globe_Shakespeare/1h4.xml,
s-1h4-28,Mort.,Globe_Shakespeare/1h4.xml,
s-1h4-27,Glend.,Globe_Shakespeare/1h4.xml,
s-1h4-30,Doug.,Globe_Shakespeare/1h4.xml,
s-1h4-34,Mess.,Globe_Shakespeare/1h4.xml,
s-1h4-31,Ver.,Globe_Shakespeare/1h4.xml,
s-1h4-33,Arch.,Globe_Shakespeare/1h4.xml,
s-1h4-32,Sir M.,Globe_Shakespeare/1h4.xml,MALE
s-1h4-35,Lan.,Globe_Shakespeare/1h4.xml,
bed.,Bed.,Globe_Shakespeare/1h6.xml,
glou.,Glou.,Globe_Shakespeare/1h6.xml,
exe.,Exe.,Globe_Shakespeare/1h6.xml,
win.,Win.,Globe_Shakespeare/1h6.xml,
mess.,Mess.,Globe_Shakespeare/1h6.xml,
char.,Char.,Globe_Shakespeare/1h6.xml,
alen.,Alen.,Globe_Shakespeare/1h6.xml,
reig.,Reig.,Globe_Shakespeare/1h6.xml,
bast.,Bast.,Globe_Shakespeare/1h6.xml,
puc.,Puc.,Globe_Shakespeare/1h6.xml,
first-warder.,First Warder.,Globe_Shakespeare/1h6.xml,
first-serv.,First Serv.,Globe_Shakespeare/1h6.xml,
second-warder.,Second Warder.,Globe_Shakespeare/1h6.xml,
woodv.,Woodv.,Globe_Shakespeare/1h6.xml,
serv.,Serv.,Globe_Shakespeare/1h6.xml,
may.,May.,Globe_Shakespeare/1h6.xml,
off.,Off.,Globe_Shakespeare/1h6.xml,
m.-gun.,M. Gun.,Globe_Shakespeare/1h6.xml,
boy.,Boy.,Globe_Shakespeare/1h6.xml,
sal.,Sal.,Globe_Shakespeare/1h6.xml,
